,ts,CCH,HKA,HKO,HKS,JKB,LFS,PEN,SEK,SHA,SKG,TKL,TPO,TUN,TY1,WGL,SSH,TMS,TC
139,1659132000,,,,,,,,,,,,,,,,,,
140,1659135600,,,,,,,,,,,,,,,,,,
141,1659139200,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods,Sunny Periods
142,1659142800,,,,,,,,,,,,,,,,,,
143,1659146400,,,,,,,,,,,,,,,,,,
144,1659150000,Sunny Periods,Sunny Periods,Sunny,Sunny,Sunny,Sunny Periods,Sunny,Sunny Periods,Sunny,Sunny,Sunny Periods,Sunny,Sunny Periods,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny
145,1659153600,,,,,,,,,,,,,,,,,,
146,1659157200,,,,,,,,,,,,,,,,,,
147,1659160800,Sunny Periods,Sunny Periods,Sunny,Sunny,Sunny,Sunny Periods,Sunny,Sunny Periods,Sunny,Sunny,Sunny Periods,Sunny,Sunny Periods,Sunny,Sunny,Sunny Periods,Sunny Periods,Sunny
148,1659164400,,,,,,,,,,,,,,,,,,
149,1659168000,,,,,,,,,,,,,,,,,,
150,1659171600,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
151,1659175200,,,,,,,,,,,,,,,,,,
152,1659178800,,,,,,,,,,,,,,,,,,
153,1659182400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
154,1659186000,,,,,,,,,,,,,,,,,,
155,1659189600,,,,,,,,,,,,,,,,,,
156,1659193200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
157,1659196800,,,,,,,,,,,,,,,,,,
158,1659200400,,,,,,,,,,,,,,,,,,
159,1659204000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
160,1659207600,,,,,,,,,,,,,,,,,,
161,1659211200,,,,,,,,,,,,,,,,,,
162,1659214800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
163,1659218400,,,,,,,,,,,,,,,,,,
164,1659222000,,,,,,,,,,,,,,,,,,
165,1659225600,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
166,1659229200,,,,,,,,,,,,,,,,,,
167,1659232800,,,,,,,,,,,,,,,,,,
168,1659236400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
169,1659240000,,,,,,,,,,,,,,,,,,
170,1659243600,,,,,,,,,,,,,,,,,,
171,1659247200,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
172,1659250800,,,,,,,,,,,,,,,,,,
173,1659254400,,,,,,,,,,,,,,,,,,
174,1659258000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
175,1659261600,,,,,,,,,,,,,,,,,,
176,1659265200,,,,,,,,,,,,,,,,,,
177,1659268800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
178,1659272400,,,,,,,,,,,,,,,,,,
179,1659276000,,,,,,,,,,,,,,,,,,
180,1659279600,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
181,1659283200,,,,,,,,,,,,,,,,,,
182,1659286800,,,,,,,,,,,,,,,,,,
183,1659290400,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
184,1659294000,,,,,,,,,,,,,,,,,,
185,1659297600,,,,,,,,,,,,,,,,,,
186,1659301200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
187,1659304800,,,,,,,,,,,,,,,,,,
188,1659308400,,,,,,,,,,,,,,,,,,
189,1659312000,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
190,1659315600,,,,,,,,,,,,,,,,,,
191,1659319200,,,,,,,,,,,,,,,,,,
192,1659322800,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
193,1659326400,,,,,,,,,,,,,,,,,,
194,1659330000,,,,,,,,,,,,,,,,,,
195,1659333600,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
196,1659337200,,,,,,,,,,,,,,,,,,
197,1659340800,,,,,,,,,,,,,,,,,,
198,1659344400,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny,Sunny
199,1659348000,,,,,,,,,,,,,,,,,,
200,1659351600,,,,,,,,,,,,,,,,,,
201,1659355200,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
202,1659358800,,,,,,,,,,,,,,,,,,
203,1659362400,,,,,,,,,,,,,,,,,,
204,1659366000,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
205,1659369600,,,,,,,,,,,,,,,,,,
206,1659373200,,,,,,,,,,,,,,,,,,
207,1659376800,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
